frame,cam_x,cam_y,cam_z,visible_chunks,num_visible,gpu_anchors_before,gpu_anchors_after,loaded_chunks,num_loaded,evicted_chunks,num_evicted,evicted_access_times,evicted_anchor_counts
0,619.30,17.06,1.00,183|184|185,3,10809,10809,,0,,0,,
1,618.92,18.49,1.40,179|183|184|185,4,10809,16673,179,1,,0,,
2,618.62,18.84,1.45,179|183|184|185,4,16673,16673,,0,,0,,
3,618.34,19.98,1.36,179|183|184|185,4,16673,16673,,0,,0,,
4,617.98,21.21,1.33,179|183|184|185,4,16673,16673,,0,,0,,
5,618.10,21.02,1.09,179|183|184|185,4,16673,16673,,0,,0,,
6,617.26,22.50,1.42,179|183|184|185,4,16673,16673,,0,,0,,
7,617.63,23.87,0.94,179|183|184|185,4,16673,16673,,0,,0,,
8,617.06,24.20,1.37,179|183|184|185,4,16673,16673,,0,,0,,
9,616.66,25.38,1.16,179|183|184|185,4,16673,16673,,0,,0,,
10,616.90,25.89,1.31,179|183|184|185,4,16673,16673,,0,,0,,
11,616.54,26.56,1.35,179|183|184|185,4,16673,16673,,0,,0,,
12,615.90,27.59,1.12,179|183|184|185,4,16673,16673,,0,,0,,
13,616.07,28.78,1.28,179|184|185,3,16673,16673,,0,,0,,
14,616.11,29.25,1.14,179|183|184|185,4,16673,16673,,0,,0,,
15,615.53,30.18,1.35,179|183|184|185,4,16673,16673,,0,,0,,
16,615.03,30.89,1.42,179|184|185,3,16673,16673,,0,,0,,
17,614.85,31.86,1.32,179|184|185,3,16673,16673,,0,,0,,
18,614.79,32.61,1.04,179|184|185,3,16673,16673,,0,,0,,
19,614.87,33.69,1.27,179|184|185,3,16673,16673,,0,,0,,
20,614.21,33.93,1.23,179|184|185,3,16673,16673,,0,,0,,
21,614.34,35.58,1.24,179|184|185,3,16673,16673,,0,,0,,
22,614.18,36.29,1.43,179|180|184|185,4,16673,20896,180,1,,0,,
23,613.55,36.25,1.46,179|180|184|185,4,20896,20896,,0,,0,,
24,613.49,37.80,1.23,179|180|184|185,4,20896,20896,,0,,0,,
25,613.54,39.23,1.41,179|180|184|185,4,20896,20896,,0,,0,,
26,613.31,39.55,1.49,179|180|184|185,4,20896,20896,,0,,0,,
27,612.77,40.38,1.32,179|180|184|185,4,20896,20896,,0,,0,,
28,612.68,41.41,1.35,179|180|184|185,4,20896,20896,,0,,0,,
29,612.36,42.48,1.37,179|180|184|185,4,20896,20896,,0,,0,,
30,611.95,43.08,1.29,179|180|184|185,4,20896,20896,,0,,0,,
