frame,cam_x,cam_y,cam_z,visible_chunks,num_visible,gpu_anchors_before,gpu_anchors_after,loaded_chunks,num_loaded,evicted_chunks,num_evicted,evicted_access_times,evicted_anchor_counts
0,365.78,7.85,1.43,97|98|99|104|108,5,11413,11413,,0,,0,,
1,364.96,8.93,1.38,97|98|99|104|108,5,11413,11413,,0,,0,,
2,363.73,9.77,1.32,97|98|99|104|108,5,11413,11413,,0,,0,,
3,363.34,10.62,1.46,98|99|104|108,4,11413,11413,,0,,0,,
4,363.15,12.09,1.24,98|99|104|108,4,11413,11413,,0,,0,,
5,362.23,12.79,1.19,97|98|99|104,4,11413,11413,,0,,0,,
6,361.46,13.39,1.35,98|99|104|108,4,11413,11413,,0,,0,,
7,360.77,14.89,1.13,98|99|104|108,4,11413,11413,,0,,0,,
8,360.06,15.25,1.22,97|98|99|104,4,11413,11413,,0,,0,,
9,359.52,16.15,1.61,98|99|104,3,11413,11413,,0,,0,,
10,358.47,17.08,1.17,98|99|104,3,11413,11413,,0,,0,,
11,357.42,18.51,1.33,98|99|104,3,11413,11413,,0,,0,,
12,356.93,19.26,1.43,98|99|104,3,11413,11413,,0,,0,,
13,356.46,19.91,1.23,98|99|104,3,11413,11413,,0,,0,,
14,355.67,20.85,1.63,98|99|104,3,11413,11413,,0,,0,,
15,355.06,21.96,1.33,98|99|104,3,11413,11413,,0,,0,,
16,354.35,22.30,1.32,98|99|104,3,11413,11413,,0,,0,,
17,353.81,23.25,1.43,98|99|104,3,11413,11413,,0,,0,,
18,352.79,24.33,1.48,98|99|104,3,11413,11413,,0,,0,,
19,351.62,25.09,1.42,98|99|104,3,11413,11413,,0,,0,,
20,351.18,26.21,1.31,98|99|104,3,11413,11413,,0,,0,,
21,350.82,27.19,1.35,94|98|99|104,4,11413,12970,94,1,,0,,
22,349.81,27.79,1.43,94|98|99,3,12970,12970,,0,,0,,
23,349.50,28.58,1.21,94|99|104,3,12970,12970,,0,,0,,
24,349.39,29.69,1.51,94|98|99,3,12970,12970,,0,,0,,
25,347.84,31.08,1.42,94|98|99,3,12970,12970,,0,,0,,
26,346.91,31.75,1.31,94|98|99,3,12970,12970,,0,,0,,
27,346.63,32.50,1.31,94|98|99,3,12970,12970,,0,,0,,
28,345.97,33.38,1.35,94|98|99,3,12970,12970,,0,,0,,
29,344.74,34.23,1.30,94|99,2,12970,12970,,0,,0,,
30,344.71,35.63,1.25,94|99,2,12970,12970,,0,,0,,
31,343.40,36.65,1.29,94|98|99,3,12970,12970,,0,,0,,
32,343.08,37.25,1.52,94|98|99,3,12970,12970,,0,,0,,
33,342.11,37.75,1.48,94|99,2,12970,12970,,0,,0,,
34,341.64,38.89,1.31,94|99,2,12970,12970,,0,,0,,
35,340.67,39.66,1.30,94|95|99,3,12970,15557,95,1,,0,,
36,340.04,40.73,1.31,94|95|99,3,15557,15557,,0,,0,,
37,339.11,41.73,1.34,94|95|99,3,15557,15557,,0,,0,,
38,338.37,42.94,1.25,94|95|99,3,15557,15557,,0,,0,,
39,338.34,43.49,1.50,94|95|99,3,15557,15557,,0,,0,,
40,336.87,44.71,1.44,94|95|99,3,15557,15557,,0,,0,,
41,336.59,45.06,1.29,94|95|99,3,15557,15557,,0,,0,,
42,336.01,46.18,1.40,94|95|99,3,15557,15557,,0,,0,,
43,335.02,47.06,1.57,94|95|99,3,15557,15557,,0,,0,,
44,334.26,48.03,1.38,94|95|99,3,15557,15557,,0,,0,,
45,333.39,48.94,1.34,94|95|99,3,15557,15557,,0,,0,,
46,333.22,49.60,1.46,90|94|95|99,4,15557,17754,90,1,,0,,
47,332.36,50.83,1.32,90|94|95,3,17754,17754,,0,,0,,
48,331.88,51.26,1.45,90|94|95,3,17754,17754,,0,,0,,
49,331.33,52.55,1.33,90|94|95,3,17754,17754,,0,,0,,
50,330.37,53.28,1.42,90|94|95,3,17754,17754,,0,,0,,
51,329.49,54.28,1.31,90|94|95,3,17754,17754,,0,,0,,
52,328.64,55.36,1.46,90|94|95,3,17754,17754,,0,,0,,
53,328.06,56.18,1.41,90|94|95,3,17754,17754,,0,,0,,
54,327.18,57.02,1.39,90|94|95,3,17754,17754,,0,,0,,
55,326.82,57.98,1.37,90|94|95,3,17754,17754,,0,,0,,
56,326.03,58.67,1.42,90|94|95,3,17754,17754,,0,,0,,
57,325.49,59.70,1.51,90|94|95,3,17754,17754,,0,,0,,
58,324.26,60.69,1.46,90|94|95,3,17754,17754,,0,,0,,
59,323.97,61.40,1.27,90|91|94|95,4,17754,19083,91,1,,0,,
60,323.09,62.35,1.56,90|91|94|95,4,19083,19083,,0,,0,,
61,322.52,63.11,1.34,85|90|91|94|95,5,19083,20404,85,1,,0,,
62,322.08,64.73,1.38,85|90|91|94|95,5,20404,20404,,0,,0,,
63,321.27,64.84,1.62,85|90|91|94|95,5,20404,20404,,0,,0,,
64,320.15,65.94,1.43,85|90|91|94|95,5,20404,20404,,0,,0,,
65,319.70,67.19,1.45,85|90|91|94|95,5,20404,20404,,0,,0,,
66,318.77,67.73,1.29,85|90|91|94|95,5,20404,20404,,0,,0,,
67,317.95,68.68,1.29,85|90|91|94|95,5,20404,20404,,0,,0,,
68,317.29,69.63,1.45,85|90|91|94|95,5,20404,20404,,0,,0,,
69,317.24,70.15,1.31,85|90|91|94|95,5,20404,20404,,0,,0,,
70,316.00,71.32,1.34,85|90|91|94|95,5,20404,20404,,0,,0,,
71,315.55,72.32,1.23,85|86|90|91|95,5,20404,23246,86,1,,0,,
72,315.06,73.86,1.32,85|86|90|91|95,5,23246,23246,,0,,0,,
73,314.55,74.89,1.20,85|86|90|91|95,5,23246,23246,,0,,0,,
74,313.34,75.68,1.28,85|86|90|91|95,5,23246,23246,,0,,0,,
75,312.59,76.11,1.27,85|86|90|91|95,5,23246,23246,,0,,0,,
76,311.90,76.73,1.18,85|86|90|91|95,5,23246,23246,,0,,0,,
77,311.01,77.76,1.23,85|86|90|91|95,5,23246,23246,,0,,0,,
78,310.74,78.71,1.18,85|86|90|91|95,5,23246,23246,,0,,0,,
79,309.54,79.72,1.33,85|86|90|91|95,5,23246,23246,,0,,0,,
80,309.08,80.56,1.40,86|90|91|95,4,23246,23246,,0,,0,,
81,308.84,81.46,1.24,85|86|90|91|95,5,23246,23246,,0,,0,,
82,307.50,82.32,1.40,81|85|86|90|91|95,6,23246,24635,81,1,,0,,
83,306.83,83.58,1.21,81|85|86|87|90|91|95,7,24635,27590,87,1,,0,,
84,305.83,84.34,1.41,81|85|86|87|90|91,6,27590,27590,,0,,0,,
85,305.49,84.97,1.24,85|86|87|90|91|95,6,27590,27590,,0,,0,,
86,304.66,86.15,1.49,85|86|87|90|91,5,27590,27590,,0,,0,,
87,304.40,86.87,1.39,82|85|86|87|90|91,6,27590,31110,82,1,,0,,
88,303.17,88.62,1.32,81|82|85|86|87|90|91,7,31110,31110,,0,,0,,
89,302.61,88.66,1.45,81|82|85|86|87|90|91,7,31110,31110,,0,,0,,
90,301.88,89.35,1.44,82|85|86|87|90|91,6,31110,31110,,0,,0,,
91,300.98,90.66,1.33,82|85|86|87|90|91,6,31110,31110,,0,,0,,
92,300.30,91.53,1.33,82|86|87|90|91,5,31110,31110,,0,,0,,
93,299.82,92.69,1.39,82|86|87|91,4,31110,31110,,0,,0,,
94,299.21,93.40,1.33,82|85|86|87|90|91,6,31110,31110,,0,,0,,
95,298.46,94.20,1.44,82|85|86|87|90|91,6,31110,31110,,0,,0,,
96,297.18,95.65,1.59,82|83|85|86|87|91,6,31110,34541,83,1,,0,,
97,296.55,96.07,1.42,82|83|86|87|91,5,34541,34541,,0,,0,,
98,296.33,96.69,1.41,82|83|86|87|91,5,34541,34541,,0,,0,,
99,295.87,97.53,1.51,82|83|86|87|91,5,34541,34541,,0,,0,,
100,295.04,98.87,1.30,82|83|86|87|91,5,34541,34541,,0,,0,,
101,294.35,99.05,1.31,82|83|86|87|91,5,34541,34541,,0,,0,,
102,293.62,100.65,1.32,82|83|86|87|91,5,34541,34541,,0,,0,,
103,292.90,101.18,1.30,83|86|87|91,4,34541,34541,,0,,0,,
104,292.94,102.58,1.34,82|83|86|87|91,5,34541,34541,,0,,0,,
105,291.46,103.45,1.58,82|83|86|87|91,5,34541,34541,,0,,0,,
106,290.99,104.27,1.43,82|83|86|87|91,5,34541,34541,,0,,0,,
107,289.99,104.97,1.38,82|83|86|87|91,5,34541,34541,,0,,0,,
108,289.68,105.87,1.17,82|83|86|87|91,5,34541,34541,,0,,0,,
109,288.53,106.86,1.75,82|83|86|87|91,5,34541,34541,,0,,0,,
110,288.25,107.71,1.28,81|82|83|86|87,5,34541,34541,,0,,0,,
111,286.77,107.36,1.45,81|82|83|86|87,5,34541,34541,,0,,0,,
112,286.29,108.44,1.44,82|83|86|87,4,34541,34541,,0,,0,,
113,285.32,108.57,1.37,78|81|82|83|85|86|87,7,34541,38383,78,1,,0,,
114,284.29,108.32,1.52,78|81|82|83|85|86|87,7,38383,38383,,0,,0,,
115,283.76,108.43,1.52,78|81|82|83|86|87,6,38383,38383,,0,,0,,
116,282.64,108.87,1.39,78|81|82|83|86|87,6,38383,38383,,0,,0,,
117,281.65,109.00,1.44,78|81|82|83|85|86|87,7,38383,38383,,0,,0,,
118,281.34,108.98,1.54,78|81|82|83|86|87,6,38383,38383,,0,,0,,
119,280.28,109.34,1.44,78|81|82|83|86|87,6,38383,38383,,0,,0,,
120,279.38,109.45,1.45,78|81|82|83|86|87,6,38383,38383,,0,,0,,
121,278.20,109.45,1.35,78|81|82|83|86|87,6,38383,38383,,0,,0,,
122,277.84,109.72,1.47,78|81|82|83|86|87,6,38383,38383,,0,,0,,
123,275.85,110.01,1.49,78|82|83|86|87,5,38383,38383,,0,,0,,
